,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,Alangāyam,12.6,78.75,85.24,46,98,14.18,IN,1627879770
310,Esna,25.2934,32.554,80.62,15,6,5.12,EG,1627879771
311,Mt. Pleasant,32.7941,-79.8626,82.54,82,90,0.0,US,1627879515
312,Victoria Point,-27.5833,153.3,77.43,69,37,7.0,AU,1627879774
313,Hanstholm,57.1167,8.6167,57.61,83,75,12.15,DK,1627879774
314,Sirte,31.2089,16.5887,81.19,71,0,6.31,LY,1627879775
315,Mocuba,-16.8392,36.9856,60.17,84,0,3.02,MZ,1627879775
316,Tres Arroyos,-38.3739,-60.2798,39.49,70,0,10.8,AR,1627879776
317,Salinópolis,-0.6136,-47.3561,76.44,81,61,2.55,BR,1627879777
318,La Santisima Trinidad,-14.8333,-64.9,66.65,28,12,7.05,BO,1627879778
319,Pokosnoye,55.5258,101.0536,57.6,91,100,9.33,RU,1627879779
320,Bonavista,48.6499,-53.1147,60.12,86,2,17.07,CA,1627879780
321,Marrakesh,31.6315,-8.0083,62.67,72,50,3.44,MA,1627879528
322,Çarşamba,41.1989,36.7219,78.78,94,40,1.14,TR,1627879781
323,San Juan,-31.5375,-68.5364,51.58,31,0,1.23,AR,1627879666
324,Laguna de Perlas,12.3429,-83.6712,78.15,90,95,12.17,NI,1627879782
325,Barranca,-10.75,-77.7667,62.35,87,98,10.31,PE,1627879784
326,Tevaitoa,-16.7833,-151.5,77.47,71,11,15.01,PF,1627879785
327,Fortuna,40.5982,-124.1573,54.93,92,90,8.05,US,1627879785
328,Santiago,-33.4569,-70.6483,62.29,33,1,3.44,CL,1627879689
329,Bāndarban,22.1965,92.2262,76.8,97,100,1.88,BD,1627879786
330,Maku,39.2911,44.4521,70.61,63,43,4.54,IR,1627879787
331,Port Macquarie,-31.4333,152.9167,67.96,66,94,5.37,AU,1627879788
332,Muros,42.7762,-9.0603,64.83,92,60,7.9,ES,1627879789
333,Tarauacá,-8.1614,-70.7656,66.06,57,2,2.42,BR,1627879790
334,La Reforma,25.0833,-108.05,83.16,77,93,3.22,MX,1627879790
335,Caravelas,-17.7125,-39.2481,67.95,65,79,7.76,BR,1627879790
336,Rabo de Peixe,37.8,-25.5833,69.31,94,75,9.22,PT,1627879792
337,Coyhaique,-45.5752,-72.0662,48.15,76,90,6.91,CL,1627879792
338,Nyrob,60.733,56.7202,65.03,67,85,6.06,RU,1627879792
339,Cooma,-36.2333,149.1333,53.37,37,0,17.27,AU,1627879793
340,Tiruvallur,13.15,79.9167,90.34,39,99,13.82,IN,1627879793
341,Nuuk,64.1835,-51.7216,56.01,71,75,4.61,GL,1627879794
342,Anchorage,61.2181,-149.9003,76.08,63,1,5.75,US,1627879637
343,Makkah al Mukarramah,21.4267,39.8261,91.89,42,21,14.65,SA,1627879795
344,Guerrero Negro,27.9769,-114.0611,73.99,74,0,11.95,MX,1627879796
345,Rock Springs,41.5875,-109.2029,68.23,53,1,1.01,US,1627879797
346,San Jose,37.3394,-121.895,66.07,70,20,1.01,US,1627879726
347,La Roda,39.2167,-2.15,64.4,77,100,6.73,ES,1627879799
348,Longyearbyen,78.2186,15.6401,44.44,76,40,10.36,SJ,1627879799
349,Novikovo,51.1537,37.8879,80.06,45,55,5.5,RU,1627879800
350,Kununurra,-15.7667,128.7333,94.98,34,36,3.44,AU,1627879824
351,Dali,25.7,100.1833,79.57,45,0,1.52,CN,1627879825
